Review_Text,Rating,Sentiment,tokenized_reviews,stopwords_removed,punct_removed,lemmatized,cleaned
the healthcare provider was excellent. i had a great experience. ,3,0,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
"the service was okay, but nothing exceptional. ",4,1,"['the', 'service', 'was', 'okay', ',', 'but', 'nothing', 'exceptional', '.']","['service', 'okay', ',', 'nothing', 'exceptional', '.']","['service', 'okay', 'nothing', 'exceptional']","['service', 'okay', 'nothing', 'exceptional']",service okay nothing exceptional
i had a bad experience with this healthcare provider. avoid if possible. ,2,-1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
the staff was caring and attentive. i couldn't be happier. ,3,0,"['the', 'staff', 'was', 'caring', 'and', 'attentive.', 'i', 'could', ""n't"", 'be', 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']",staff caring attentive. could n't happier
i had a bad experience with this healthcare provider. avoid if possible. ,3,0,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
my experience was terrible. i would not recommend this provider. ,5,1,"['my', 'experience', 'was', 'terrible.', 'i', 'would', 'not', 'recommend', 'this', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']",experience terrible. would not recommend provider
i had a bad experience with this healthcare provider. avoid if possible. ,5,1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
the service was disappointing. i won't be coming back. ,1,-1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
the staff was caring and attentive. i couldn't be happier. ,4,1,"['the', 'staff', 'was', 'caring', 'and', 'attentive.', 'i', 'could', ""n't"", 'be', 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']",staff caring attentive. could n't happier
i'm very satisfied with the service i received. highly recommended. ,1,-1,"['i', ""'m"", 'very', 'satisfied', 'with', 'the', 'service', 'i', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']",'m satisfied service received. highly recommended
the service was disappointing. i won't be coming back. ,5,1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
my experience was terrible. i would not recommend this provider. ,2,-1,"['my', 'experience', 'was', 'terrible.', 'i', 'would', 'not', 'recommend', 'this', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']",experience terrible. would not recommend provider
the healthcare provider was excellent. i had a great experience. ,5,1,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
i'm very satisfied with the service i received. highly recommended. ,5,1,"['i', ""'m"", 'very', 'satisfied', 'with', 'the', 'service', 'i', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']",'m satisfied service received. highly recommended
i have mixed feelings about my experience. ,4,1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
it was an average experience. neither good nor bad. ,4,1,"['it', 'was', 'an', 'average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']",average experience. neither good nor bad
i have mixed feelings about my experience. ,4,1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
i had a bad experience with this healthcare provider. avoid if possible. ,1,-1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
"the service was okay, but nothing exceptional. ",3,0,"['the', 'service', 'was', 'okay', ',', 'but', 'nothing', 'exceptional', '.']","['service', 'okay', ',', 'nothing', 'exceptional', '.']","['service', 'okay', 'nothing', 'exceptional']","['service', 'okay', 'nothing', 'exceptional']",service okay nothing exceptional
i had a bad experience with this healthcare provider. avoid if possible. ,1,-1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
it was an average experience. neither good nor bad. ,4,1,"['it', 'was', 'an', 'average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']",average experience. neither good nor bad
"the service was okay, but nothing exceptional. ",2,-1,"['the', 'service', 'was', 'okay', ',', 'but', 'nothing', 'exceptional', '.']","['service', 'okay', ',', 'nothing', 'exceptional', '.']","['service', 'okay', 'nothing', 'exceptional']","['service', 'okay', 'nothing', 'exceptional']",service okay nothing exceptional
the staff was caring and attentive. i couldn't be happier. ,5,1,"['the', 'staff', 'was', 'caring', 'and', 'attentive.', 'i', 'could', ""n't"", 'be', 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']",staff caring attentive. could n't happier
i have mixed feelings about my experience. ,2,-1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
the healthcare provider was excellent. i had a great experience. ,4,1,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
i have mixed feelings about my experience. ,2,-1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
i have mixed feelings about my experience. ,2,-1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
the healthcare provider was excellent. i had a great experience. ,4,1,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
"the service was okay, but nothing exceptional. ",3,0,"['the', 'service', 'was', 'okay', ',', 'but', 'nothing', 'exceptional', '.']","['service', 'okay', ',', 'nothing', 'exceptional', '.']","['service', 'okay', 'nothing', 'exceptional']","['service', 'okay', 'nothing', 'exceptional']",service okay nothing exceptional
the healthcare provider was excellent. i had a great experience. ,2,-1,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
the service was disappointing. i won't be coming back. ,5,1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
i had a bad experience with this healthcare provider. avoid if possible. ,4,1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
i had a bad experience with this healthcare provider. avoid if possible. ,3,0,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
the healthcare provider was excellent. i had a great experience. ,5,1,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
i had a bad experience with this healthcare provider. avoid if possible. ,2,-1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
the healthcare provider was excellent. i had a great experience. ,5,1,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
the service was disappointing. i won't be coming back. ,1,-1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
it was an average experience. neither good nor bad. ,3,0,"['it', 'was', 'an', 'average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']",average experience. neither good nor bad
it was an average experience. neither good nor bad. ,2,-1,"['it', 'was', 'an', 'average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']",average experience. neither good nor bad
the healthcare provider was excellent. i had a great experience. ,4,1,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
it was an average experience. neither good nor bad. ,2,-1,"['it', 'was', 'an', 'average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']",average experience. neither good nor bad
i have mixed feelings about my experience. ,4,1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
the service was disappointing. i won't be coming back. ,2,-1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
i'm very satisfied with the service i received. highly recommended. ,5,1,"['i', ""'m"", 'very', 'satisfied', 'with', 'the', 'service', 'i', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']",'m satisfied service received. highly recommended
the service was disappointing. i won't be coming back. ,5,1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
the service was disappointing. i won't be coming back. ,5,1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
i had a bad experience with this healthcare provider. avoid if possible. ,1,-1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
the service was disappointing. i won't be coming back. ,4,1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
my experience was terrible. i would not recommend this provider. ,5,1,"['my', 'experience', 'was', 'terrible.', 'i', 'would', 'not', 'recommend', 'this', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']",experience terrible. would not recommend provider
my experience was terrible. i would not recommend this provider. ,1,-1,"['my', 'experience', 'was', 'terrible.', 'i', 'would', 'not', 'recommend', 'this', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']",experience terrible. would not recommend provider
i had a bad experience with this healthcare provider. avoid if possible. ,4,1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
i'm very satisfied with the service i received. highly recommended. ,2,-1,"['i', ""'m"", 'very', 'satisfied', 'with', 'the', 'service', 'i', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']",'m satisfied service received. highly recommended
"the service was okay, but nothing exceptional. ",1,-1,"['the', 'service', 'was', 'okay', ',', 'but', 'nothing', 'exceptional', '.']","['service', 'okay', ',', 'nothing', 'exceptional', '.']","['service', 'okay', 'nothing', 'exceptional']","['service', 'okay', 'nothing', 'exceptional']",service okay nothing exceptional
the service was disappointing. i won't be coming back. ,1,-1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
my experience was terrible. i would not recommend this provider. ,1,-1,"['my', 'experience', 'was', 'terrible.', 'i', 'would', 'not', 'recommend', 'this', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']",experience terrible. would not recommend provider
i had a bad experience with this healthcare provider. avoid if possible. ,4,1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
the service was disappointing. i won't be coming back. ,2,-1,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
the service was disappointing. i won't be coming back. ,3,0,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
it was an average experience. neither good nor bad. ,5,1,"['it', 'was', 'an', 'average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']",average experience. neither good nor bad
"the service was okay, but nothing exceptional. ",5,1,"['the', 'service', 'was', 'okay', ',', 'but', 'nothing', 'exceptional', '.']","['service', 'okay', ',', 'nothing', 'exceptional', '.']","['service', 'okay', 'nothing', 'exceptional']","['service', 'okay', 'nothing', 'exceptional']",service okay nothing exceptional
my experience was terrible. i would not recommend this provider. ,1,-1,"['my', 'experience', 'was', 'terrible.', 'i', 'would', 'not', 'recommend', 'this', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']",experience terrible. would not recommend provider
my experience was terrible. i would not recommend this provider. ,5,1,"['my', 'experience', 'was', 'terrible.', 'i', 'would', 'not', 'recommend', 'this', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider', '.']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']","['experience', 'terrible.', 'would', 'not', 'recommend', 'provider']",experience terrible. would not recommend provider
i'm very satisfied with the service i received. highly recommended. ,3,0,"['i', ""'m"", 'very', 'satisfied', 'with', 'the', 'service', 'i', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']",'m satisfied service received. highly recommended
i'm very satisfied with the service i received. highly recommended. ,2,-1,"['i', ""'m"", 'very', 'satisfied', 'with', 'the', 'service', 'i', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended', '.']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']","[""'m"", 'satisfied', 'service', 'received.', 'highly', 'recommended']",'m satisfied service received. highly recommended
the service was disappointing. i won't be coming back. ,3,0,"['the', 'service', 'was', 'disappointing.', 'i', 'wo', ""n't"", 'be', 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back', '.']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']","['service', 'disappointing.', 'wo', ""n't"", 'coming', 'back']",service disappointing. wo n't coming back
it was an average experience. neither good nor bad. ,2,-1,"['it', 'was', 'an', 'average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad', '.']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']","['average', 'experience.', 'neither', 'good', 'nor', 'bad']",average experience. neither good nor bad
the healthcare provider was excellent. i had a great experience. ,5,1,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
